State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Public Library Definition,Legal Basis,Administrative Structure,Interlibrary Relationship,Service Population,Service Population Without Duplicates,Central Libraries,Branch Libraries,Bookmobiles,MLS Librarians,Librarians,Employees,Total Staff,Local Government Operating Revenue,State Government Operating Revenue,Federal Government Operating Revenue,Other Operating Revenue,Total Operating Revenue,Salaries,Benefits,Total Staff Expenditures,Print Collection Expenditures,Digital Collection Expenditures,Other Collection Expenditures,Total Collection Expenditures,Other Operating Expenditures,Total Operating Expenditures,Local Government Capital Revenue,State Government Capital Revenue,Federal Government Capital Revenue,Other Capital Revenue,Total Capital Revenue,Total Capital Expenditures,Print Collection,Digital Collection,Audio Collection,Downloadable Audio,Physical Video,Downloadable Video,Local Cooperative Agreements,State Licensed Databases,Total Licensed Databases,Print Subscriptions,Hours Open,Library Visits,Reference Transactions,Registered Users,Circulation Transactions,Interlibrary Loans Provided,Interlibrary Loans Received,Library Programs,Children’s Programs,Young Adult Programs,Library Program Audience,Children’s Program Audience,Young Adult Program Audience,Public Internet Computers,Internet Computer Use,Wireless Internet Sessions,Start Date,End Date
IA,IA0455,2015,WALNUT PUBLIC LIBRARY,224 ANTIQUE CITY DR,WALNUT,51577,-95.2220993,41.4767335,19,155,POTTAWATTAMIE,93128,Y,CI,SO,ME,1023,1008,1,0,0,0,0.6,0,0.6,32425,841,0,7118,40384, , , ,5016,64,2209,7289, ,42230,0,0,0,0,0,0,12335,15552,57,8189,1035,0,0,16,16,25,1200,5500,300,438,7817,2,6,31,24,3,795,661,27,7,1200,-1,07/01/2013,06/30/2014
IA,IA0456,2015,BONDURANT COMMUNITY LIBRARY,104 2ND ST NE,BONDURANT,50035,-93.4630402,41.7029581,19,153,POLK,459862,Y,CI,SO,ME,4834,4764,1,0,0,0,3.25,0,3.25,199254,3136,0,9310,211700,110612,27440,138052,15672,1823,6497,23992,15912,177956,0,0,0,0,0,0,18574,15552,850,8189,1300,0,3,17,20,64,2470,33894,3809,5535,33322,369,373,237,184,15,7199,6656,163,18,4026,408,07/01/2013,06/30/2014
IA,IA0457,2015,J.C. CLEGG PUBLIC LIBRARY,137 4TH ST N,CENTRAL CITY,52214,-91.5244847,42.2055356,19,113,LINN,217751,Y,CI,SO,ME,1603,1580,1,0,0,0.75,0.75,0.13,0.88,55495,106,0,620,56221, , , ,9445,938,298,10681, ,55495,0,0,0,0,0,0,10275,8200,44,4080,188,0,2,17,19,0,1690,11450,802,874,3737,54,94,77,54,12,906,792,48,6,5460,-1,07/01/2013,06/30/2014
IA,IA0458,2015,HIAWATHA PUBLIC LIBRARY,150 W WILLMAN ST,HIAWATHA,52233,-91.672307,42.036848,19,113,LINN,217751,Y,CI,SO,ME,13577,13381,1,0,0,2,5.75,1.55,7.3,676658,82054,0,69179,827891,309606,121310,430916,35203,15211,26083,76497,91539,598952,31705,0,0,10000,41705,41705,43078,971,3966,679,6711,0,8,17,25,104,2964,117204,1071,9499,267044,17384,48823,482,350,15,14182,12540,291,14,20112,0,07/01/2013,06/30/2014
IA,IA0459,2015,LISBON PUBLIC LIBRARY,101 E MAIN ST,LISBON,52253,-91.385395,41.9212447,19,113,LINN,217751,Y,CI,SO,ME,2273,2240,1,0,0,0,0.73,0.14,0.87,73474,3197,0,1613,78284, , , ,9586,976,286,10848, ,74082,0,0,0,0,0,0,9510,8200,451,4080,864,0,2,13,15,22,1690,19107,50,2462,15884,23,181,95,80,1,1665,1500,41,5,1560,0,07/01/2013,06/30/2014
IA,IA0460,2015,MARION PUBLIC LIBRARY,1095 6TH AVE,MARION,52302,-91.598717,42.032354,19,113,LINN,217751,Y,CI,SO,ME,43469,42842,1,0,0,5,6,21.23,27.23,1545950,127707,0,131141,1804798,898805,312124,1210929,134651,41281,52827,228759,365110,1804798,21214,0,0,0,21214,21214,169264,3310,3430,2375,17989,0,16,17,33,297,3256,318458,15097,26545,803882,793,192,777,309,64,17613,10778,968,28,35031,-1,07/01/2013,06/30/2014
IA,IA0461,2015,SPRINGVILLE MEMORIAL LIBRARY,264 BROADWAY ST,SPRINGVILLE,52336,-91.443461,42.060101,19,113,LINN,217751,Y,CI,SO,ME,1962,1934,1,0,0,0,0.85,0.6,1.45,72634,1574,0,2535,76743, , , ,6576,0,1498,8074, ,54657,0,0,0,0,0,0,12093,8200,453,4080,831,0,1,4,5,44,2132,17268,1259,1523,10492,80,74,153,69,4,1526,963,30,10,2891,1365,07/01/2013,06/30/2014
IA,IA0462,2015,WEST BRANCH PUBLIC LIBRARY,300 NDOWNEY ST,WEST BRANCH,52358,-91.346554,41.677064,19,31,CEDAR,18411,Y,CI,SO,ME,3462,3412,1,0,0,1,2,1.05,3.05,165950,3074,0,9799,178823,100264,32929,133193,11634,3074,6133,20841,50788,204822,0,0,0,0,0,0,17899,8200,830,4080,1054,0,1,17,18,33,2356,26765,1486,1248,41898,326,501,313,286,14,8000,7625,303,12,4970,0,07/01/2013,06/30/2014
IA,IA0463,2015,SHELLSBURG PUBLIC LIBRARY,110 MAIN ST,SHELLSBURG,52332,-91.871287,42.095451,19,11,BENTON,25680,Y,CI,SO,ME,3951,3894,1,0,0,0,0.85,0.05,0.9,43588,1511,0,3913,49012, , , ,6487,762,2885,10134, ,56328,0,0,0,0,0,0,9084,8200,37,4080,1241,103,0,17,17,23,1404,12395,1624,959,25449,239,0,180,173,4,1433,976,332,9,3380,-1,07/01/2013,06/30/2014
IA,IA0464,2015,ANAMOSA LIBRARY & LEARNING CENTER,600 E FIRST ST,ANAMOSA,52205,-91.2794503,42.1064796,19,105,JONES,20454,Y,CI,SO,ME,9123,8991,1,0,0,1,3.75,0.3,4.05,116005,3434,0,59704,179143,91230,25199,116429,7386,2599,95,10080,52773,179282,0,0,0,0,0,0,26885,8200,854,4080,1799,0,1,17,18,90,2496,55471,2392,4738,43447,133,106,231,123,16,6027,5207,150,14,7077,-1,07/01/2013,06/30/2014
