Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,1024,156,20 to 24 years,R3,Richmond,May,2016,z,email,true,2003,false,1
0,ADULT,36,16,20 to 24 years,C2,Chinatown,October,2014,z,email,true,2011,false,11
3,SENIOR,129,89,65 to 74 years,X,Main Library,June,2016,z,email,true,2003,false,2
0,ADULT,139,145,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,April,2016,z,email,true,2007,false,8
0,ADULT,17,0,25 to 34 years,M6,Mission,October,2015,z,email,true,2006,true,
0,ADULT,7,0,25 to 34 years,W4,Western Addition,November,2015,z,email,true,2014,false,2
0,ADULT,69,0,45 to 54 years,S7,Sunset,November,2012,z,email,true,2012,false,5
16,DIGITAL ACCESS CARD,0,0,45 to 54 years,M6,Mission,None,None,z,email,true,2016,true,
0,ADULT,83,51,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,5
0,ADULT,1,0,20 to 24 years,G4,Glen Park,September,2013,z,email,true,2013,false,11
0,ADULT,15,22,45 to 54 years,X,Main Library,March,2010,z,email,true,2009,true,
0,ADULT,34,1,35 to 44 years,M4,Merced,January,2016,z,email,true,2015,true,
3,SENIOR,2267,398,65 to 74 years,I5,Ingleside,July,2016,z,email,true,2003,false,11
0,ADULT,132,156,45 to 54 years,W4,Western Addition,July,2016,z,email,true,2004,false,5
0,ADULT,12,2,35 to 44 years,W4,Western Addition,July,2016,p,phone,true,2015,false,2
0,ADULT,4,1,25 to 34 years,P9,Presidio,August,2013,z,email,true,2013,false,2
0,ADULT,115,143,45 to 54 years,V3,Visitacion Valley,October,2015,z,email,true,2003,true,
0,ADULT,45,6,45 to 54 years,X,Main Library,June,2016,z,email,true,2014,false,11
0,ADULT,28,2,60 to 64 years,P9,Presidio,January,2016,z,email,true,2003,false,2
