Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
3,SENIOR,28,13,65 to 74 years,X,Main Library,November,2012,z,email,true,2003,true,
0,ADULT,21,10,55 to 59 years,X,Main Library,October,2015,z,email,true,2003,false,
0,ADULT,275,559,60 to 64 years,X,Main Library,January,2015,z,email,true,2003,true,
0,ADULT,73,38,45 to 54 years,M8,Mission Bay,February,2016,z,email,true,2003,false,
0,ADULT,182,90,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,
3,SENIOR,1,0,65 to 74 years,X,Main Library,July,2004,z,email,true,2003,true,
16,DIGITAL ACCESS CARD,31,4,65 to 74 years,P7,Potrero,January,2012,z,email,true,2003,false,
0,ADULT,547,177,60 to 64 years,X,Main Library,July,2016,p,phone,false,2003,true,
0,ADULT,28,1,60 to 64 years,X,Main Library,December,2015,z,email,true,2003,false,
0,ADULT,77,3,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,true,
3,SENIOR,593,9,65 to 74 years,X,Main Library,September,2014,p,phone,false,2003,false,
3,SENIOR,784,589,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,true,
0,ADULT,601,702,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,
3,SENIOR,2,6,65 to 74 years,S7,Sunset,May,2005,a,print,false,2003,true,
0,ADULT,99,226,45 to 54 years,X,Main Library,July,2014,z,email,true,2003,false,
0,ADULT,84,24,45 to 54 years,X,Main Library,August,2015,z,email,true,2003,false,
0,ADULT,369,278,55 to 59 years,M4,Merced,July,2016,z,email,true,2003,false,
3,SENIOR,65,8,65 to 74 years,N4,Noe Valley/Sally Brunn,February,2016,p,phone,false,2003,false,
0,ADULT,147,89,55 to 59 years,E9,Excelsior,March,2016,z,email,true,2003,true,
0,ADULT,93,64,60 to 64 years,X,Main Library,February,2015,z,email,true,2003,true,
0,ADULT,321,15,60 to 64 years,X,Main Library,January,2015,z,email,true,2003,false,
0,ADULT,228,200,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,6,3,60 to 64 years,X,Main Library,December,2006,z,email,true,2003,false,
0,ADULT,120,76,35 to 44 years,C2,Chinatown,May,2016,z,email,true,2003,false,
3,SENIOR,1453,242,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,
0,ADULT,5,0,35 to 44 years,N6,North Beach,November,2007,z,email,true,2003,false,
3,SENIOR,39,32,65 to 74 years,X,Main Library,May,2015,p,phone,true,2003,true,
0,ADULT,31,30,35 to 44 years,M4,Merced,June,2015,p,phone,true,2003,false,
0,ADULT,33,0,45 to 54 years,C2,Chinatown,August,2015,z,email,true,2003,false,
3,SENIOR,230,62,65 to 74 years,P9,Presidio,June,2016,z,email,true,2003,false,
0,ADULT,15,14,45 to 54 years,M6,Mission,August,2015,z,email,true,2003,false,
55,RETIRED STAFF,756,232,65 to 74 years,M4,Merced,July,2016,p,phone,false,2003,true,
0,ADULT,97,38,55 to 59 years,X,Main Library,January,2015,z,email,true,2003,false,
3,SENIOR,1010,505,65 to 74 years,M6,Mission,July,2016,z,email,true,2003,false,
0,ADULT,272,455,45 to 54 years,X,Main Library,February,2016,z,email,true,2003,true,
3,SENIOR,0,0,65 to 74 years,X,Main Library,November,2007,p,phone,false,2003,false,
0,ADULT,207,47,45 to 54 years,P1,Park,October,2014,z,email,true,2003,false,
0,ADULT,18,9,35 to 44 years,C2,Chinatown,January,2012,z,email,true,2003,false,
0,ADULT,317,128,55 to 59 years,X,Main Library,March,2016,z,email,true,2003,true,
0,ADULT,24,16,45 to 54 years,M2,Marina,April,2014,z,email,true,2003,false,
0,ADULT,28,12,55 to 59 years,M6,Mission,February,2013,p,phone,false,2003,false,
0,ADULT,562,567,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,
0,ADULT,26,6,35 to 44 years,M4,Merced,May,2015,z,email,true,2003,true,
0,ADULT,22,0,55 to 59 years,P3,Parkside,January,2014,z,email,true,2003,true,
3,SENIOR,576,382,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,
3,SENIOR,187,76,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,January,2013,z,email,true,2003,false,
0,ADULT,1541,36,60 to 64 years,P3,Parkside,July,2016,z,email,true,2003,true,
3,SENIOR,88,62,65 to 74 years,X,Main Library,June,2015,z,email,true,2003,false,
0,ADULT,4,0,45 to 54 years,S7,Sunset,February,2006,z,email,true,2003,true,
0,ADULT,141,110,55 to 59 years,M2,Marina,September,2014,z,email,true,2003,true,
0,ADULT,12,21,60 to 64 years,A5,Anza,March,2010,z,email,true,2003,false,
0,ADULT,237,69,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,1271,527,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,1008,493,60 to 64 years,M4,Merced,July,2016,z,email,true,2003,true,
0,ADULT,281,182,45 to 54 years,M6,Mission,July,2016,z,email,true,2003,false,
3,SENIOR,7,0,65 to 74 years,X,Main Library,September,2010,p,phone,false,2003,false,
3,SENIOR,205,95,65 to 74 years,W2,West Portal,July,2016,z,email,true,2003,false,
5,STAFF,19,0,45 to 54 years,X,Main Library,April,2011,a,print,false,2003,false,
3,SENIOR,8,1,65 to 74 years,X,Main Library,July,2015,z,email,true,2003,false,
0,ADULT,318,278,35 to 44 years,I5,Ingleside,May,2016,z,email,true,2003,false,
3,SENIOR,65,137,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,
0,ADULT,1065,533,55 to 59 years,E9,Excelsior,July,2016,z,email,true,2003,false,
0,ADULT,879,91,60 to 64 years,E9,Excelsior,July,2016,z,email,true,2003,true,
0,ADULT,6,3,60 to 64 years,M8,Mission Bay,May,2014,z,email,true,2003,false,
3,SENIOR,29,11,65 to 74 years,B4,Bernal Heights,May,2014,z,email,true,2003,false,
0,ADULT,17,26,60 to 64 years,R3,Richmond,January,2015,p,phone,false,2003,false,
0,ADULT,54,5,45 to 54 years,M2,Marina,July,2016,z,email,true,2003,false,
0,ADULT,74,112,55 to 59 years,X,Main Library,June,2015,z,email,true,2003,false,
0,ADULT,2311,1412,45 to 54 years,C2,Chinatown,July,2016,z,email,true,2003,true,
3,SENIOR,109,0,65 to 74 years,C2,Chinatown,July,2015,z,email,true,2003,true,
0,ADULT,29,15,60 to 64 years,W2,West Portal,November,2014,p,phone,false,2003,false,
0,ADULT,268,331,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,18,3,60 to 64 years,X,Main Library,June,2015,z,email,true,2003,true,
0,ADULT,139,187,55 to 59 years,P1,Park,July,2016,z,email,true,2003,false,
3,SENIOR,534,152,65 to 74 years,R3,Richmond,May,2016,z,email,true,2003,false,
0,ADULT,69,5,60 to 64 years,X,Main Library,July,2008,z,email,true,2003,false,
0,ADULT,73,0,55 to 59 years,P5,Portola,February,2016,a,print,false,2003,false,
0,ADULT,108,4,45 to 54 years,X,Main Library,May,2015,z,email,true,2003,true,
0,ADULT,93,86,35 to 44 years,E9,Excelsior,March,2015,p,phone,false,2003,true,
0,ADULT,1552,1184,25 to 34 years,O7,Ortega,January,2016,z,email,true,2003,false,
0,ADULT,1207,75,60 to 64 years,X,Main Library,July,2016,p,phone,true,2003,false,
55,RETIRED STAFF,586,296,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,157,30,35 to 44 years,E9,Excelsior,March,2015,p,phone,false,2003,false,
0,ADULT,1229,1640,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,1,1,55 to 59 years,X,Main Library,February,2013,z,email,true,2003,true,
0,ADULT,348,95,45 to 54 years,X,Main Library,May,2016,z,email,true,2003,false,
0,ADULT,104,33,55 to 59 years,W4,Western Addition,August,2015,z,email,true,2003,false,
0,ADULT,66,36,55 to 59 years,R3,Richmond,August,2014,p,phone,false,2003,false,
0,ADULT,44,91,35 to 44 years,YB,Unknown,December,2014,z,email,true,2003,false,
0,ADULT,17,0,35 to 44 years,X,Main Library,October,2013,z,email,true,2003,false,
0,ADULT,291,30,45 to 54 years,X,Main Library,June,2016,z,email,true,2003,true,
0,ADULT,39,3,55 to 59 years,X,Main Library,July,2014,z,email,true,2003,true,
0,ADULT,108,95,60 to 64 years,X,Main Library,September,2014,z,email,true,2003,true,
0,ADULT,3,9,25 to 34 years,P5,Portola,August,2006,z,email,true,2003,false,
0,ADULT,1,0,20 to 24 years,S7,Sunset,December,2015,z,email,true,2012,false,
3,SENIOR,9,2,65 to 74 years,C2,Chinatown,April,2004,z,email,true,2003,true,
3,SENIOR,7,5,65 to 74 years,X,Main Library,August,2013,z,email,true,2003,true,
0,ADULT,217,16,55 to 59 years,R3,Richmond,November,2013,z,email,true,2003,false,
0,ADULT,815,7,60 to 64 years,R3,Richmond,July,2016,a,print,false,2003,false,
0,ADULT,109,135,45 to 54 years,X,Main Library,July,2015,z,email,true,2003,true,
0,ADULT,171,60,45 to 54 years,O7,Ortega,February,2016,z,email,true,2003,true,
0,ADULT,743,842,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,101,8,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,June,2016,z,email,true,2003,false,
0,ADULT,47,4,35 to 44 years,O7,Ortega,August,2010,a,print,false,2003,true,
3,SENIOR,62,26,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,
5,STAFF,74,19,45 to 54 years,X,Main Library,April,2011,z,email,true,2003,false,
0,ADULT,112,47,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,true,
3,SENIOR,1051,478,65 to 74 years,P9,Presidio,October,2013,z,email,true,2003,false,
3,SENIOR,817,9,65 to 74 years,P9,Presidio,August,2013,p,phone,false,2003,false,
0,ADULT,30,25,35 to 44 years,C2,Chinatown,March,2016,z,email,true,2003,true,
0,ADULT,104,31,55 to 59 years,M6,Mission,June,2016,p,phone,false,2003,false,
0,ADULT,17,0,45 to 54 years,X,Main Library,March,2016,z,email,true,2003,false,
0,ADULT,282,357,45 to 54 years,X,Main Library,July,2015,z,email,true,2003,false,
3,SENIOR,1434,159,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,
0,ADULT,75,80,60 to 64 years,X,Main Library,April,2014,z,email,true,2003,true,
0,ADULT,4162,1820,45 to 54 years,P5,Portola,July,2016,z,email,true,2003,true,
0,ADULT,499,613,55 to 59 years,E9,Excelsior,June,2015,z,email,true,2003,false,
0,ADULT,23,18,60 to 64 years,M4,Merced,December,2013,z,email,true,2003,true,
0,ADULT,217,114,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2003,false,
0,ADULT,14,8,25 to 34 years,M6,Mission,January,2013,z,email,true,2003,false,
0,ADULT,1285,71,45 to 54 years,P7,Potrero,July,2016,z,email,true,2003,false,
0,ADULT,130,13,35 to 44 years,E9,Excelsior,June,2015,z,email,true,2003,true,
0,ADULT,456,360,60 to 64 years,X,Main Library,March,2016,z,email,true,2003,false,
3,SENIOR,5,5,65 to 74 years,X,Main Library,May,2013,z,email,true,2003,true,
0,ADULT,537,239,55 to 59 years,R3,Richmond,July,2016,z,email,true,2003,false,
0,ADULT,896,35,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,
0,ADULT,241,142,25 to 34 years,O7,Ortega,July,2016,z,email,true,2003,false,
0,ADULT,301,20,45 to 54 years,E9,Excelsior,April,2016,z,email,true,2003,false,
3,SENIOR,201,114,65 to 74 years,X,Main Library,June,2016,p,phone,false,2003,true,
0,ADULT,388,321,60 to 64 years,C2,Chinatown,July,2016,z,email,true,2003,true,
3,SENIOR,42,116,65 to 74 years,X,Main Library,May,2014,p,phone,false,2003,true,
0,ADULT,560,95,45 to 54 years,M4,Merced,May,2016,z,email,true,2003,true,
3,SENIOR,24,29,65 to 74 years,W2,West Portal,March,2014,z,email,true,2003,false,
0,ADULT,105,108,60 to 64 years,R3,Richmond,July,2016,z,email,true,2003,true,
3,SENIOR,367,109,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,
0,ADULT,481,131,60 to 64 years,C2,Chinatown,September,2015,z,email,true,2003,true,
0,ADULT,38,3,35 to 44 years,R3,Richmond,November,2015,p,phone,true,2003,false,
0,ADULT,3186,556,25 to 34 years,X,Main Library,July,2016,z,email,true,2003,true,
0,ADULT,36,84,60 to 64 years,X,Main Library,January,2015,z,email,true,2003,true,
0,ADULT,983,1162,35 to 44 years,C2,Chinatown,July,2016,z,email,true,2003,true,
0,ADULT,179,107,35 to 44 years,M8,Mission Bay,May,2015,z,email,true,2003,false,
3,SENIOR,469,282,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,1
0,ADULT,256,102,45 to 54 years,P5,Portola,July,2016,z,email,true,2003,false,9
0,ADULT,552,105,55 to 59 years,R3,Richmond,July,2016,z,email,true,2003,false,1
0,ADULT,581,159,60 to 64 years,X,Main Library,August,2013,z,email,true,2003,false,10
0,ADULT,1245,1439,55 to 59 years,N6,North Beach,July,2016,z,email,true,2003,false,3
3,SENIOR,421,272,65 to 74 years,A5,Anza,July,2016,z,email,true,2003,false,1
3,SENIOR,98,29,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,251,252,35 to 44 years,A5,Anza,July,2016,z,email,true,2003,false,1
0,ADULT,365,178,60 to 64 years,M6,Mission,August,2015,p,phone,false,2003,false,8
0,ADULT,15,9,60 to 64 years,W2,West Portal,January,2016,z,email,true,2003,false,7
0,ADULT,430,268,45 to 54 years,W2,West Portal,July,2016,p,phone,false,2003,false,7
0,ADULT,901,60,55 to 59 years,X,Main Library,August,2013,z,email,true,2003,false,10
0,ADULT,423,364,35 to 44 years,P1,Park,August,2015,z,email,true,2003,false,1
0,ADULT,1597,645,45 to 54 years,O2,Ocean View,July,2016,z,email,true,2003,false,11
0,ADULT,88,60,60 to 64 years,G4,Glen Park,May,2016,z,email,true,2003,false,8
3,SENIOR,604,442,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
0,ADULT,228,30,35 to 44 years,N6,North Beach,April,2014,z,email,true,2003,false,11
0,ADULT,157,24,60 to 64 years,X,Main Library,August,2014,p,phone,false,2003,false,2
3,SENIOR,634,136,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
3,SENIOR,521,36,65 to 74 years,X,Main Library,July,2015,p,phone,false,2003,false,8
0,ADULT,922,280,45 to 54 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,84,17,60 to 64 years,G4,Glen Park,March,2015,z,email,true,2003,false,9
0,ADULT,952,263,45 to 54 years,P3,Parkside,July,2016,z,email,true,2003,false,4
3,SENIOR,723,475,65 to 74 years,M6,Mission,July,2016,z,email,true,2003,false,8
0,ADULT,63,3,45 to 54 years,M4,Merced,March,2015,p,phone,false,2003,false,4
0,ADULT,302,246,25 to 34 years,R3,Richmond,July,2016,z,email,true,2003,false,1
3,SENIOR,273,142,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,1947,1106,55 to 59 years,G4,Glen Park,July,2016,z,email,true,2003,false,4
3,SENIOR,163,68,65 to 74 years,A5,Anza,September,2015,p,phone,false,2003,false,1
0,ADULT,87,43,55 to 59 years,X,Main Library,December,2015,z,email,true,2003,false,10
0,ADULT,1070,1438,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,7
3,SENIOR,285,117,65 to 74 years,C2,Chinatown,December,2013,z,email,true,2003,false,3
0,ADULT,18,0,55 to 59 years,R3,Richmond,July,2016,z,email,true,2003,false,7
0,ADULT,747,409,35 to 44 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,1034,117,45 to 54 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,77,47,60 to 64 years,X,Main Library,January,2016,z,email,true,2003,false,5
0,ADULT,31,19,25 to 34 years,S7,Sunset,May,2016,a,print,true,2003,false,5
0,ADULT,1321,690,60 to 64 years,P5,Portola,July,2016,z,email,true,2003,false,9
3,SENIOR,334,159,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,7
3,SENIOR,146,8,65 to 74 years,A5,Anza,July,2016,z,email,true,2003,false,1
3,SENIOR,500,122,65 to 74 years,O7,Ortega,August,2015,z,email,true,2003,false,4
0,ADULT,19,12,55 to 59 years,X,Main Library,March,2015,z,email,true,2003,false,6
0,ADULT,468,56,55 to 59 years,X,Main Library,February,2015,z,email,true,2003,false,8
0,ADULT,327,73,55 to 59 years,C2,Chinatown,March,2016,z,email,true,2003,false,4
0,ADULT,30,4,25 to 34 years,P5,Portola,February,2006,z,email,true,2003,false,9
3,SENIOR,162,51,65 to 74 years,P1,Park,October,2015,z,email,true,2003,false,7
0,ADULT,128,77,45 to 54 years,X,Main Library,August,2015,z,email,true,2003,false,9
0,ADULT,6,0,45 to 54 years,M6,Mission,April,2007,z,email,true,2003,false,9
0,ADULT,330,97,60 to 64 years,G4,Glen Park,July,2016,z,email,true,2003,false,11
3,SENIOR,177,137,65 to 74 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
3,SENIOR,121,16,65 to 74 years,W2,West Portal,May,2016,p,phone,true,2003,false,7
3,SENIOR,193,163,65 to 74 years,M4,Merced,May,2016,z,email,true,2003,false,7
0,ADULT,88,5,45 to 54 years,B4,Bernal Heights,November,2015,z,email,true,2003,false,9
3,SENIOR,431,418,65 to 74 years,M6,Mission,July,2016,p,phone,false,2003,false,8
0,ADULT,89,206,65 to 74 years,X,Main Library,July,2015,p,phone,false,2003,false,5
3,SENIOR,46,2,65 to 74 years,I5,Ingleside,December,2015,z,email,true,2003,false,11
3,SENIOR,10,4,65 to 74 years,G4,Glen Park,March,2016,z,email,true,2003,false,8
3,SENIOR,296,108,65 to 74 years,P7,Potrero,July,2016,z,email,true,2003,false,10
0,ADULT,146,224,55 to 59 years,A5,Anza,September,2015,z,email,true,2003,false,1
0,ADULT,123,8,60 to 64 years,X,Main Library,May,2016,z,email,true,2003,false,8
0,ADULT,37,25,25 to 34 years,P7,Potrero,April,2015,z,email,true,2003,false,1
0,ADULT,383,75,35 to 44 years,G4,Glen Park,March,2015,z,email,true,2003,false,8
3,SENIOR,281,137,65 to 74 years,W4,Western Addition,July,2016,z,email,true,2003,false,7
0,ADULT,24,9,45 to 54 years,A5,Anza,June,2016,z,email,true,2003,false,7
0,ADULT,2,0,35 to 44 years,R3,Richmond,May,2016,z,email,true,2003,false,1
0,ADULT,579,811,55 to 59 years,X,Main Library,June,2016,z,email,true,2003,false,1
0,ADULT,39,31,60 to 64 years,R3,Richmond,November,2015,z,email,true,2003,false,1
0,ADULT,540,239,55 to 59 years,A5,Anza,July,2016,z,email,true,2003,false,1
3,SENIOR,579,209,65 to 74 years,X,Main Library,May,2016,z,email,true,2003,false,5
0,ADULT,142,50,65 to 74 years,G4,Glen Park,June,2016,z,email,true,2003,false,9
0,ADULT,4286,484,55 to 59 years,G4,Glen Park,July,2016,z,email,true,2003,false,7
0,ADULT,0,0,35 to 44 years,S7,Sunset,March,2006,z,email,true,2003,false,5
0,ADULT,59,2,45 to 54 years,P7,Potrero,November,2014,p,phone,false,2003,false,10
3,SENIOR,255,6,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,June,2015,z,email,true,2003,false,5
0,ADULT,30,18,55 to 59 years,P1,Park,May,2016,z,email,true,2003,false,5
0,ADULT,28,14,45 to 54 years,X,Main Library,January,2015,z,email,true,2003,false,3
0,ADULT,195,172,60 to 64 years,S7,Sunset,November,2014,p,phone,false,2003,false,4
0,ADULT,78,28,45 to 54 years,G4,Glen Park,May,2016,p,phone,false,2003,false,8
3,SENIOR,313,104,65 to 74 years,P9,Presidio,December,2012,z,email,true,2003,false,2
0,ADULT,123,199,35 to 44 years,A5,Anza,July,2016,z,email,true,2003,false,1
0,ADULT,636,143,55 to 59 years,C2,Chinatown,June,2016,z,email,true,2003,false,3
5,STAFF,484,1124,25 to 34 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,570,293,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2003,false,11
0,ADULT,231,173,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,1
3,SENIOR,231,216,65 to 74 years,O7,Ortega,July,2016,z,email,true,2003,false,4
3,SENIOR,409,11,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,5
0,ADULT,945,357,35 to 44 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
3,SENIOR,891,351,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,3
0,ADULT,304,79,60 to 64 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,7,0,60 to 64 years,X,Main Library,June,2016,a,print,true,2003,false,9
0,ADULT,173,204,60 to 64 years,B4,Bernal Heights,January,2016,z,email,true,2003,false,9
3,SENIOR,377,41,65 to 74 years,N4,Noe Valley/Sally Brunn,June,2016,p,phone,false,2003,false,9
3,SENIOR,880,325,65 to 74 years,P9,Presidio,July,2016,z,email,true,2003,false,2
0,ADULT,54,12,35 to 44 years,E9,Excelsior,April,2016,z,email,true,2003,false,11
0,ADULT,5,3,60 to 64 years,X,Main Library,July,2013,z,email,true,2003,false,10
3,SENIOR,323,132,65 to 74 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,87,46,55 to 59 years,N4,Noe Valley/Sally Brunn,December,2013,z,email,true,2003,false,8
0,ADULT,283,197,45 to 54 years,P5,Portola,July,2016,p,phone,false,2003,false,10
0,ADULT,20,30,55 to 59 years,R3,Richmond,December,2015,p,phone,false,2003,false,1
0,ADULT,61,9,60 to 64 years,G4,Glen Park,May,2016,z,email,true,2003,false,7
0,ADULT,460,160,35 to 44 years,C2,Chinatown,September,2015,z,email,true,2003,false,10
0,ADULT,503,449,60 to 64 years,G4,Glen Park,July,2016,z,email,true,2003,false,7
0,ADULT,1009,378,45 to 54 years,N6,North Beach,July,2016,z,email,true,2003,false,3
3,SENIOR,1192,655,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,6
0,ADULT,1374,1439,35 to 44 years,V3,Visitacion Valley,July,2016,z,email,true,2003,false,10
0,ADULT,82,47,55 to 59 years,M4,Merced,December,2014,z,email,true,2003,false,11
3,SENIOR,777,757,65 to 74 years,S7,Sunset,July,2016,p,phone,false,2003,false,4
3,SENIOR,47,11,65 to 74 years,G4,Glen Park,March,2015,p,phone,false,2003,false,7
0,ADULT,336,254,55 to 59 years,X,Main Library,March,2016,p,phone,true,2003,false,5
0,ADULT,114,108,45 to 54 years,X,Main Library,October,2012,p,phone,false,2003,false,10
3,SENIOR,970,500,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,4
3,SENIOR,376,81,65 to 74 years,S7,Sunset,September,2013,z,email,true,2003,false,4
3,SENIOR,592,162,65 to 74 years,C2,Chinatown,May,2014,p,phone,false,2003,false,5
3,SENIOR,70,33,65 to 74 years,B4,Bernal Heights,December,2015,p,phone,false,2003,false,9
3,SENIOR,44,5,65 to 74 years,M2,Marina,June,2016,z,email,true,2003,false,2
3,SENIOR,1303,4,65 to 74 years,C2,Chinatown,July,2016,a,print,false,2003,false,8
0,ADULT,104,2,45 to 54 years,B2,Bayview/Linda Brooks-Burton,June,2016,p,phone,false,2003,false,10
3,SENIOR,281,72,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,9
0,ADULT,142,32,45 to 54 years,X,Main Library,August,2015,z,email,true,2003,false,2
0,ADULT,158,26,45 to 54 years,X,Main Library,March,2016,p,phone,false,2003,false,9
0,ADULT,35,20,60 to 64 years,P7,Potrero,June,2016,z,email,true,2003,false,10
0,ADULT,549,355,45 to 54 years,X,Main Library,December,2015,z,email,true,2003,false,9
0,ADULT,1256,395,55 to 59 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,597,310,60 to 64 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,334,194,55 to 59 years,B4,Bernal Heights,September,2013,z,email,true,2003,false,9
0,ADULT,99,48,45 to 54 years,P7,Potrero,February,2016,z,email,true,2003,false,10
0,ADULT,746,331,60 to 64 years,O7,Ortega,July,2016,p,phone,false,2003,false,4
0,ADULT,45,37,25 to 34 years,X,Main Library,July,2015,z,email,true,2003,false,5
0,ADULT,13,1,55 to 59 years,P9,Presidio,May,2016,a,print,false,2003,false,8
3,SENIOR,887,901,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,94,31,35 to 44 years,E9,Excelsior,March,2016,z,email,true,2003,false,11
0,ADULT,11,3,55 to 59 years,W4,Western Addition,July,2015,z,email,true,2003,false,5
3,SENIOR,246,23,65 to 74 years,W2,West Portal,May,2016,z,email,true,2003,false,7
0,ADULT,142,53,60 to 64 years,S7,Sunset,July,2015,z,email,true,2003,false,5
3,SENIOR,84,31,65 to 74 years,B4,Bernal Heights,April,2016,z,email,true,2003,false,9
0,ADULT,654,456,35 to 44 years,P1,Park,February,2015,z,email,true,2003,false,5
3,SENIOR,1906,148,65 to 74 years,M4,Merced,July,2016,z,email,true,2003,false,7
0,ADULT,38,22,25 to 34 years,N4,Noe Valley/Sally Brunn,July,2014,z,email,true,2003,false,8
3,SENIOR,342,123,65 to 74 years,N6,North Beach,March,2016,z,email,true,2003,false,7
3,SENIOR,67,78,65 to 74 years,R3,Richmond,March,2015,z,email,true,2003,false,1
3,SENIOR,43,56,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,9
0,ADULT,6,0,45 to 54 years,B2,Bayview/Linda Brooks-Burton,October,2014,a,print,false,2003,false,3
0,ADULT,510,109,55 to 59 years,N6,North Beach,July,2016,z,email,true,2003,false,3
0,ADULT,1836,1328,60 to 64 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
3,SENIOR,61,38,65 to 74 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,58,33,45 to 54 years,O7,Ortega,April,2016,z,email,true,2003,false,4
3,SENIOR,84,53,65 to 74 years,P1,Park,January,2015,z,email,true,2003,false,5
0,ADULT,67,46,60 to 64 years,W4,Western Addition,November,2015,z,email,true,2003,false,5
0,ADULT,417,148,35 to 44 years,R3,Richmond,March,2014,z,email,true,2003,false,1
0,ADULT,3372,3272,60 to 64 years,O7,Ortega,June,2014,z,email,true,2003,false,4
3,SENIOR,0,0,65 to 74 years,X,Main Library,None,None,z,email,true,2016,true,
0,ADULT,26,15,45 to 54 years,B2,Bayview/Linda Brooks-Burton,April,2016,z,email,true,2003,false,10
3,SENIOR,245,127,65 to 74 years,S7,Sunset,January,2015,p,phone,false,2003,false,5
0,ADULT,888,90,45 to 54 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,20,0,65 to 74 years,P3,Parkside,June,2016,z,email,true,2003,false,7
0,ADULT,220,83,45 to 54 years,R3,Richmond,November,2015,z,email,true,2003,false,1
3,SENIOR,2340,852,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,1
3,SENIOR,2257,246,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,5
0,ADULT,23,0,55 to 59 years,N4,Noe Valley/Sally Brunn,June,2005,z,email,true,2003,false,8
3,SENIOR,715,973,65 to 74 years,S7,Sunset,June,2014,z,email,true,2003,false,4
0,ADULT,1210,468,55 to 59 years,X,Main Library,June,2016,z,email,true,2003,false,8
